"","Organization.Name","Address","City","State","Postcode","Main.Phone..","Discipline","Council.District","Community.Board","Borough","Latitude","Longitude","Census.Tract","BIN","BBL","NTA"
"203","Drama League of New York, Inc.","32 Avenue of the Americas","New York","NY","10013","(212) 244-9494 x6","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.72008,-74.005184,33,1002192,1001920001,"SoHo-TriBeCa-Civic Center-Little Italy"
"204","Drawing Center, Inc.","35 Wooster Street","New York","NY","10013","(212) 219-2166 x115","Museum","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",40.722292,-74.002731,47,1007088,1004757502,"SoHo-TriBeCa-Civic Center-Little Italy"
"205","Drilling Company Theatrical Productions","107 West 82nd Street, Ste. 1A","New York","NY","10024","(917) 330-4234","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.78414,-73.9746,169,1081465,1012137504,"Upper West Side"
"206","Dyckman Farmhouse Museum Alliance","4881 Broadway","New York","NY","10034","(212) 304-9422","Museum","Manhattan Council District #10","Manhattan Community Board #12","Manhattan",40.867125,-73.92283,295,1075616,1022410035,"Marble Hill-Inwood"
"207","ENSEMBLE MISE-EN, Inc.","24 Waverly Place  Rm 268","New York","NY","10003","(217) 721-8936","Music","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",40.730398,-73.994938,59,1008822,1005470005,"West Village"
"208","EPIC Players Inc","115 Central Park West","New York","NY","10023","(347) 687-7610","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.775878,-73.976217,157,1028618,1011240027,"Lincoln Square"
"209","Early Music Foundation, Inc.","10 West 68th Street","New York","NY","10023","(212) 749-6600","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.773809,-73.978211,153,1028244,1011200033,"Lincoln Square"
"210","East River Ensemble, Inc.","58 Grand Street, 1st Floor","Brooklyn","NY","11211","(718) 387-5179","Theater","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn",40.715908,-73.965099,551,3335767,3023900018,"North Side-South Side"
"211","East Winds, Inc.","55 Park Terrace East, Apt. B63","New York","NY","10034","(646) 418-8808","Music","Manhattan Council District #7","Manhattan Community Board #12","Manhattan",40.870401,-73.916644,307,1065004,1022430210,"Marble Hill-Inwood"
"212","Edge Theater Company, Inc.","880 Third Avenue, 16th floor","New York","NY","10022","(212) 350-7244","Theater","Manhattan Council District #4","Manhattan Community Board #6","Manhattan",40.75791,-73.969254,100,1036473,1013080033,"Turtle Bay-East Midtown"
"213","Education Through Music, Inc.","122 East 42nd Street, Ste. 1501","New York","NY","10168","(212) 972-4788","Music","Manhattan Council District #4","Manhattan Community Board #5","Manhattan",40.751601,-73.97645,80,1036152,1012960014,"Murray Hill-Kips Bay"
"214","Educational Alliance, Inc.","197 East Broadway","New York","NY","10002","(212) 780-2300 x324","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.714219,-73.988219,6,1003704,1002850029,"Lower East Side"
"215","Educational Theater of New York, Inc.","228 East 45th Street","New York","NY","10017","(646) 733-7685","Theater","Manhattan Council District #4","Manhattan Community Board #6","Manhattan",40.752355,-73.972266,90,1037578,1013180033,"Turtle Bay-East Midtown"
"216","Either/Or, Inc.","321 East 43rd Street","New York","NY","10017","(646) 331-5895","Music","Manhattan Council District #4","Manhattan Community Board #6","Manhattan",40.750098,-73.970755,88,1038665,1013360010,"Turtle Bay-East Midtown"
"217","Ekmeles, Inc.","69 Bennett Ave, APT 210","New York","NY","10033","(207) 653-9856","Music","Manhattan Council District #10","Manhattan Community Board #12","Manhattan",40.85266,-73.935542,271,1064427,1021807501,"Washington Heights North"
"218","Elaine Kaufman Cultural Center/Lucy Moses School for Music and Dance","129 West 67th Street","New York","NY","10023","(212) 501-3313","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.774919,-73.982745,153,1081024,1011390008,"Lincoln Square"
"219","Elder Craftsmen, Inc.","307 Seventh Avenue, Ste. 1401","New York","NY","10001","(212) 319-8128 x10","Visual Arts","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.746869,-73.993616,95,1015061,1008030004,"Midtown-Midtown South"
"220","Electronic Music Foundation, Inc.","307 Seventh Ave Room 1402","New York","NY","10001","(518) 434-4110","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.746869,-73.993616,95,1015061,1008030004,"Midtown-Midtown South"
"221","Elizabeth Foundation for the Arts","323 West 39th Street, 11th Floor","New York","NY","10018","(212) 563-5855","Visual Arts","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.755707,-73.992045,115,1013682,1007637502,"Clinton"
"222","Ellen Beckerman & Company, Inc.","64 Fulton Street, Ste. 403","New York","NY","10038","(212) 346-0020","Theater","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",40.708769,-74.005136,1502,1001176,1000760001,"Battery Park City-Lower Manhattan"
"223","Elmcor Youth & Adult Activities, Inc.","33-16 108 Street","Corona","NY","11368","(718) 651-0096","Music","Queens Council District #21","Queens Community Board #3","Queens",40.757429,-73.860938,381,4042761,4017220012,"North Corona"
"224","Emerging Artists Theatre Company","15 West 28th Street, Third Floor","New York","NY","10001","(212) 247-2429","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.74515,-73.988383,76,1015728,1008300030,"Midtown-Midtown South"
"225","Emmanuel Baptist Church in Brooklyn","279 Lafayette Avenue","Brooklyn","NY","11238","(718) 622-1107","Music","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn",40.688279,-73.965287,197,3055373,3019320042,"Clinton Hill"
"226","En Garde Arts, Inc.","27 West 86th Street, #2A","New York, NY","NY","10023","(323) 528-6434","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.785879,-73.970703,173,1031404,1012000015,"Upper West Side"
"227","Enrichment Through the Arts, Inc.","11 Borman Avenue","Staten Island","NY","10314","(718) 982-5678","Theater","Staten Island Council Dist #50","Staten Island Community Brd #2","Staten Island",40.592473,-74.154176,27301,5127458,5020030082,"New Springville-Bloomfield-Travis"
"228","Ensemble 212, Inc.","301 W 45th St","New York","NY","10036","(646) 266-9632","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.759351,-73.988814,121,1025011,1010360029,"Clinton"
"229","Ensemble Studio Theatre, Inc.","545 West 52nd Street","New York","NY","10019","(212) 247-4982 x15","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.766642,-73.992538,135,1083290,1010810080,"Clinton"
"230","Epic Theatre Center, Inc.","410 West 42nd Street, #4E1","New York","NY","10036","(212) 239-1770","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.758652,-73.993185,115,1026330,1010510029,"Clinton"
"231","Epiphany Theater Company, Inc.","154 Christopher Street, Ste. 2B","New York","NY","10014","(646) 638-0252","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.73273,-74.008129,69,1010421,1006040033,"West Village"
"232","Ethel's Foundation for the Arts","132 East 43rd Street, #213","New York","NY","10017","(914) 674-0638","Music","Manhattan Council District #4","Manhattan Community Board #6","Manhattan",40.751969,-73.97523,92,1036156,1012970023,"Turtle Bay-East Midtown"
"233","Evangelical Lutheran Church of the Advent","2504 Broadway","New York","NY","10025","(212) 665-2504","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.792909,-73.97304,179,1033646,1012410020,"Upper West Side"
"234","Exit Art/The First World, Inc.","475 Tenth Avenue, 1st Floor","New York","NY","10018","(212) 966-7745 x11","Visual Arts","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.756154,-73.998018,99,1012493,1007080031,"Hudson Yards-Chelsea-Flatiron-Union Square"
"235","FCBC Community Development Corporation","1912 Adam Clayton Powell Jr. Blvd.","New York","NY","10026","(212) 678-7030","Theater","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",40.802841,-73.952813,218,1055238,1018310033,"Central Harlem South"
"236","FRIGID New York, Inc.","85 East 4th Street","New York","NY","10003","(917) 270-0608","Theater","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",40.726393,-73.989887,38,1006599,1004600044,"East Village"
"237","Fantastic Experimental Latino Theater, Inc.","107 Suffolk Street, Ste. 311","New York","NY","10002","(212) 228-3705","Theater","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.718943,-73.986122,1402,1004301,1003530054,"Lower East Side"
"238","Fault Line Theatre, Inc.","520 8th Ave., Suite 318","New York","NY","10018","(646) 801-1085","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.753612,-73.992417,109,1083624,1007860001,"Midtown-Midtown South"
"239","Federation Employment & Guidance Service, Inc.","315 Hudson Street","New York","NY","10013","(212) 366-8032","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.72631,-74.00749,37,1010362,1005970012,"SoHo-TriBeCa-Civic Center-Little Italy"
"240","Feed Your Mind Music","147 Prince Street","New York","NY","11201","(347) 796-1113","Music","Brooklyn Council District #40","Brooklyn Community Board #9","Brooklyn",40.692648,-73.982532,15,3058261,3020620006,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"241","Festival of North American Orchestras, Inc.","470 Park Avenue South","New York","NY","10016","(212) 683-6060","Music","Manhattan Council District #2","Manhattan Community Board #5","Manhattan",40.745492,-73.982515,74,1080788,1008610044,"Midtown-Midtown South"
"242","Fiasco Theater LTD","80 Madison Ave","New York","NY","10016","(646) 845-9073","Theater","Manhattan Council District #3","Manhattan Community Board #6","Manhattan",40.744104,-73.985637,74,1016899,1008580014,"Midtown-Midtown South"
"243","Fiji Theatre Company","47 Great Jones Street, Sixth Floor","New York","NY","10012","(212) 529-1557 x202","Theater","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",40.726739,-73.992528,5502,1008483,1005307503,"West Village"
"244","Finland Center Foundation","47 Fifth Avenue","New York","NY","10003","(646) 704-8000","Music","Manhattan Council District #2","Manhattan Community Board #2","Manhattan",40.73435,-73.994808,61,1009274,1005690004,"West Village"
"245","First Baptist Church of Crown Heights, Inc.","450 Eastern Parkway","Brooklyn","NY","11225","(718) 778-1200","Music","Brooklyn Council District #35","Brooklyn Community Board #9","Brooklyn",40.670028,-73.953728,323,3032891,3012670027,"Crown Heights South"
"246","Fluid Motion Theater & Film, Inc.","109 West 27th Street, Ste. 9A","New York","NY","10001","(917) 459-8181","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.745735,-73.991689,95,1015070,1008030029,"Midtown-Midtown South"
"247","Flux Factory","39-31 29th Street","Queens","NY","11101","(718) 707-3362","Visual Arts","Queens Council District #26","Queens Community Board #1","Brooklyn",40.660464,-74.003914,18,NA,NA,"Sunset Park West"
"248","Flying Carpet Theater, Inc.","43-38 47th Street","Sunnyside","NY","11104","(917) 721-7567","Theater","Queens Council District #26","Queens Community Board #2","Queens",40.74413,-73.91756,25301,4448556,4001410027,"Hunters Point-Sunnyside-West Maspeth"
"249","Flying Fig Theater, Inc.","161 Sixth Avenue, 14th Floor","New York","NY","10013","(212) 691-6969 x13","Theater","","Manhattan Community Board #2","Manhattan",40.725677,-74.003976,37,1007822,1005050031,"SoHo-TriBeCa-Civic Center-Little Italy"
"250","Focal Point Press, Ltd.","321 City Island Avenue","Bronx","NY","10464","(718) 885-1403","Visual Arts","Bronx Council District #12","Bronx Community Board #10","Bronx",40.847587,-73.786631,516,2094043,2056310139,"Pelham Bay-Country Club-City Island"
"251","Folksbiene Yiddish Theatre","36 Battery Place","New York","NY","10280","(212) 213-2120","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.705806,-74.018019,31704,1084594,1000160010,"Battery Park City-Lower Manhattan"
"252","Forest Hills Symphony Orchestra","160-08 25th Drive","Flushing","NY","11358","(718) 544-7692","Music","Queens Council District #22","Queens Community Board #6","Queens",40.774149,-73.803558,1059,4110540,4048850008,"Murray Hill"
"253","Forty Greene Avenue Cultural Center, Inc.","54 Greene Avenue","Brooklyn","NY","11238","(718) 783-9794","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn",40.686184,-73.970321,179,3055872,3019580019,"Fort Greene"
"254","Foundation","413 East 120 St","New York","NY","10035","(917) 403-6875","Visual Arts","Manhattan Council District #8","Manhattan Community Board #11","Manhattan",40.798371,-73.932987,192,1054888,1018080008,"East Harlem North"
"255","Foundry Theatre, Inc.","140-142 Second Avenue, Ste. 405","New York","NY","10003","(212) 777-1444","Theater","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",40.728956,-73.987401,38,1006362,1004500006,"East Village"
"256","Freestyle Repertory Theatre","120 West 86th Street, Apt. 1A","New York","NY","10024","(212) 362-4978","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.786769,-73.972866,169,1032176,1012160140,"Upper West Side"
"257","Fresh Squeezed Opera Company","98 Thayer Street #3K","New York","NY","10040","(919) 272-7645","Music","Manhattan Council District #10","Manhattan Community Board #12","Manhattan",40.864554,-73.927783,287,1064248,1021750170,"Washington Heights North"
"258","Frick Collection","1 East 70th Street","New York","NY","10021","(212) 991-5770","Museum","Manhattan Council District #4","Manhattan Community Board #8","Manhattan",40.771054,-73.967749,130,1081212,1013850001,"Upper East Side-Carnegie Hill"
"259","Friends of Alice Austen House, Inc.","2 Hylan Boulevard","Staten Island","NY","10305","(718) 816-4506 x12","Museum","Staten Island Council Dist #49","Staten Island Community Brd #1","Staten Island",40.615561,-74.06322,6,5042188,5028300049,"Stapleton-Rosebank"
"260","Friends of City Reliquary Incorporated","370 Metropolitan Avenue","New York","NY","11211","(718) 782-4842","Museum","Brooklyn Council District #34","Brooklyn Community Board #1","Brooklyn",40.714077,-73.955711,519,3062502,3023690011,"North Side-South Side"
"261","Friends of the New York City Fire Department Collection, Inc.","278 Spring Street","New York","NY","10013","(212) 691-1303 x11","Museum","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.725767,-74.006851,37,1009739,1005790011,"SoHo-TriBeCa-Civic Center-Little Italy"
"262","Friends of the New York Transit Museum","130 Livingston Street, 10th Floor","Brooklyn","NY","11201","(718) 694-5102","Museum","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn",40.690782,-73.988753,37,3319419,3001630001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"263","Frog & Peach Theatre Company, Inc.","840 West End Avenue, Apt. B1","New York","NY","10025","(212) 953-1104","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.798535,-73.970802,187,1056498,1018730001,"Upper West Side"
"264","Fulton Art Fair, Inc.","57 Putnam Avenue","Brooklyn","NY","11238","(718) 493-3421","Visual Arts","Brooklyn Council District #36","Brooklyn Community Board #8","Brooklyn",40.682901,-73.959925,231,3056884,3019830070,"Clinton Hill"
"265","Gallery Players, Inc.","199 14th Street","Brooklyn","NY","11215","(212) 691-3020","Theater","Brooklyn Council District #39","","Brooklyn",40.666966,-73.990448,141,3023430,3010340068,"Park Slope-Gowanus"
"266","Gingold Theatrical Group, Inc.","520 8th Avenue","New York","NY","10018","(212) 355-7823","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.753612,-73.992417,109,1083624,1007860001,"Midtown-Midtown South"
"267","Girl Be Heard Institute","80 East 11th St, Suite 301A","New York, NY","NY","10003","(857) 277-2418","Theater","Manhattan Council District #2","Manhattan Community Board #2","Brooklyn",40.646843,-73.969294,1522,3116362,3050710090,"Flatbush"
"268","Glass Farm Ensemble, Inc.","109 West 27 Street, Apt. 5D","New York","NY","10001","(212) 244-6422","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.745735,-73.991689,95,1015070,1008030029,"Midtown-Midtown South"
"269","Glass Menagerie A Downtown Community Chorus, Inc.","201 East 17th Street, #21C","New York","NY","10003","(917) 319-4661","Music","Manhattan Council District #2","Manhattan Community Board #2","Manhattan",40.735041,-73.985375,48,1019551,1008980001,"Gramercy"
"270","Global Artists Coalition Incorporated","323 W. 138TH Street","New York","NY","10030","(917) 855-7772","Museum","Manhattan Council District #10","Manhattan Community Board #10","Manhattan",40.81884,-73.946103,22102,1060657,1020410036,"Central Harlem North-Polo Grounds"
"271","Godwin Ternbach Museum","Queens College, 405 Klapper Hall","Flushing","NY","11367","(718) 997-3920","Museum","Queens Council District #24","Queens Community Board #8","Queens",40.736392,-73.818882,809,4000000,4065170001,"Kew Gardens Hills"
"272","Golden Fleece Theatre Company, Ltd.","70A Greenwich Avenue, Apt. 256","New York","NY","10011","(212) 691-6105","Music","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.736395,-74.000985,71,1010573,1006067501,"West Village"
"273","Goliard Concerts, Inc.","30-87 46th Street","Astoria","NY","11103","(212) 923-1711","Music","Queens Council District #22","Queens Community Board #1","Queens",40.759453,-73.911956,151,4013273,4007280010,"Astoria"
"274","Gorilla Repertory Theatre Company, Inc.","363 Tompkins Avenue, Apt. 3","Brooklyn","NY","11216","(212) 252-5258","Theater","Brooklyn Council District #36","Brooklyn Community Board #3","Brooklyn",40.685216,-73.944275,267,3051711,3018250004,"Bedford"
"275","Gotham Early Music Scene, Inc.","340 Riverside Drive, Apt. 1A","New York","NY","10025","(212) 866-0468","Music","Manhattan Council District #9","Manhattan Community Board #7","Manhattan",40.8023,-73.969728,195,1057257,1018920001,"Morningside Heights"
"276","Gotham Stage Company, Inc.","288 W. 92nd Street","New York","NY","10025","(212) 579-0321","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.792544,-73.974738,179,1033601,1012390056,"Upper West Side"
"277","Grace Chorale of Brooklyn","254 Hicks Street","Brooklyn","NY","11201","(212) 755-5510 x368","Music","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn",40.693706,-73.996596,301,3329460,3002520028,"Brooklyn Heights-Cobble Hill"
"278","Gramercy Brass of New York, Inc.","111 East 19th Street","New York","NY","10003","(212) 229-7607","Music","Manhattan Council District #2","Manhattan Community Board #6","Manhattan",40.737333,-73.98719,50,1017910,1008750011,"Gramercy"
"279","Great Small Works, Inc.","315 West 86th Street, Apt. 4E","New York","NY","10024","(212) 787-8457","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.789163,-73.978498,175,1033938,1012480022,"Upper West Side"
"280","Greater Chinatown Community Association","105 Mosco Street","New York","NY","10013","(212) 374-1311","Music","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.714459,-73.999347,29,1001820,1001640044,"Chinatown"
"281","Greater Ridgewood Historical Society","1820 Flushing Avenue","Ridgewood","NY","11385","(718) 765-7067","Museum","Brooklyn Council District #34","Brooklyn Community Board #5","Queens",40.710926,-73.920356,539,4081481,4034120001,"Ridgewood"
"282","Greater Ridgewood Youth Council, Inc.","59-03 Summerfield Street","Ridgewood","NY","11385","(718) 456-5437","Visual Arts","Queens Council District #30","Queens Community Board #5","Queens",40.699463,-73.897855,557,4437841,4035880001,"Ridgewood"
"283","Greek Cultural Center, Inc.","27-18 Hoyt Avenue South","Astoria","NY","11102","(718) 726-7329","Theater","Queens Council District #22","Queens Community Board #1","Queens",40.771931,-73.919901,69,4540506,4008397503,"Old Astoria"
"284","Ground UP Productions","72 Barrow St. #2N","New York","NY","10014","(646) 479-4997","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.731619,-74.005975,73,1083518,1005850001,"West Village"
"285","Groundswell Community Mural Project","540 President St. Ste 1A","Brooklyn","NY","11215","(718) 254-9782","Visual Arts","Brooklyn Council District #33","Brooklyn Community Board #6","Brooklyn",40.677354,-73.984973,119,3000000,3004480013,"Park Slope-Gowanus"
"286","HB Playwrights Foundation, Inc.","122 Bank Street","New York","NY","10014","(212) 989-6540","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.73629,-74.007556,75,1083548,1006340014,"West Village"
"287","Hands On Sign Interpreted Performances, Inc.","159-00 Riverside Drive West, Ste. 7F","New York","NY","10032","(212) 740-3087","Theater","Manhattan Council District #7","Manhattan Community Board #12","Manhattan",40.837414,-73.947996,247,1063300,1021350060,"Washington Heights South"
"288","Harbor Lights Theater Company, Inc.","38 Westervelt Avenue","Staten Island","NY","10301","(718) 273-7516","Theater","Staten Island Council Dist #49","Staten Island Community Brd #1","Staten Island",40.646724,-74.086738,7,5001178,5000510171,"West New Brighton-New Brighton-St. George"
"289","Harlem Artists' Development League Especially For You","229 West 135 Street","New York","NY","10030","(917) 334-8694","Theater","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",40.815754,-73.944743,228,1058880,1019410014,"Central Harlem North-Polo Grounds"
"290","Harlem Chamber Players, Inc.","191 Claremont Avenue #25","New York","NY","10027","(212) 866-1492","Music","Manhattan Council District #9","Manhattan Community Board #9","Manhattan",40.814874,-73.960206,211,1059874,1019940069,"Morningside Heights"
"291","Harlem Opera Theater, Inc.","425 West 144th Street","New York","NY","10031","(212) 234-6767","Music","Manhattan Council District #9","Manhattan Community Board #7","Manhattan",40.823821,-73.94633,227,1084160,1020500037,"Hamilton Heights"
"292","Harmonia Opera Company, Inc.","2109 Broadway","New York","NY","10023","(212) 870-1500","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.780408,-73.982076,159,1030544,1011657503,"Lincoln Square"
"293","Harmonie Ensemble, Inc.","820 West End Avenue, Ste. 13B","New York","NY","10025","(212) 222-6684","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.797662,-73.971438,187,1056468,1018710061,"Upper West Side"
"294","Harmony Program, Inc.","535 East 80th Street","New York","NY","10075","(212) 463-7455","Music","Manhattan Council District #5","Manhattan Community Board #8","Manhattan",40.771681,-73.948986,136,1050871,1015777504,"Yorkville"
"295","Harpsichord Unlimited","215 W 98th St., Suite 2A","New York","NY","10025","(212) 280-1086","Music","Manhattan Council District #8","Manhattan Community Board #7","Manhattan",40.79568,-73.970146,187,1082691,1018707502,"Upper West Side"
"296","Hebrew Home for the Aged at Riverdale","5901 Palisade Avenue","New York","NY","10471","(718) 581-1330","Visual Arts","Bronx Council District #11","Bronx Community Board #8","Bronx",40.908233,-73.908974,309,2116428,2059330224,"North Riverdale-Fieldston-Riverdale"
"297","Herbert Berghof Studio","120 Bank Street","New York","NY","10014","(212) 675-2370","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.736299,-74.007495,75,1011899,1006340015,"West Village"
"298","Hetrick-Martin Institute, Inc.","2 Astor Place","New York","NY","10003","(212) 674-2400","Visual Arts","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",40.730038,-73.992632,57,1080092,1005450026,"West Village"
"299","Highbridge Voices Corporation","1360 Merriam Avenue","Bronx","NY","10452","(718) 293-8759 x13","Music","Bronx Council District #16","Bronx Community Board #4","Bronx",40.84195,-73.925346,201,2003558,2025350001,"Highbridge"
"300","Highly Over Violent Records","825 Melrose Ave, Bronx, NY Apt 7E","New York City","NY","10451","(646) 360-8399","Music","Bronx Council District #17","Bronx Community Board #1","Bronx",40.82319,-73.914387,141,2114448,2024060021,"Morrisania-Melrose"
"301","Hip to Hip Theatre Company","52-40 39th Drive","Woodside","NY","11377","(718) 729-8567","Theater","Queens Council District #26","Queens Community Board #2","Queens",40.747142,-73.910905,251,4431300,4012380025,"Woodside"
"302","Hispanic Society of America","613 West 155th Street","New York","NY","10032","(212) 926-2234","Museum","Manhattan Council District #7","","Manhattan",40.833063,-73.946478,241,1081864,1021340008,"Washington Heights South"
"303","Historic House Trust of New York City","830 Fifth Avenue","New York","NY","10065","(212) 360-8282","Museum","Manhattan Council District #4","Manhattan Community Board #8","Manhattan",40.767711,-73.970516,143,1083811,1011110001,"park-cemetery-etc-Manhattan"
"304","Honest Accomplice Theatre Inc.","592 16th Street","Brooklyn","NY","11218","(646) 591-7051","Theater","Brooklyn Council District #39","Brooklyn Community Board #7","Brooklyn",40.657708,-73.974818,171,3121940,3052580020,"Windsor Terrace"
"305","Horizon Concerts, Inc.","420 Lexington Ave., Suite 300","New York","NY","10170","(212) 297-6195","Music","Manhattan Council District #3","Manhattan Community Board #6","Manhattan",40.752262,-73.975464,92,1035385,1012807501,"Turtle Bay-East Midtown"
"306","Horizon Theatre Rep","117 East 37th St","New York","NY","10016","(646) 781-9067","Theater","Manhattan Council District #3","Manhattan Community Board #6","Manhattan",40.748615,-73.979053,80,1019086,1008930014,"Murray Hill-Kips Bay"
"307","Hotel Savant Theatre Company, Inc.","2350 Broadway, #1207","New York","NY","10024","(646) 221-4021","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.788007,-73.976747,171,1033133,1012330016,"Upper West Side"
"308","Hourglass Group, Ltd.","520 Eighth Avenue, Suite 317a","New York","NY","10018","(212) 439-8122 x2","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.753612,-73.992417,109,1083624,1007860001,"Midtown-Midtown South"
"309","ID Studio Theater Performance and Research Center","531 West 112th Street","New York","NY","10025","(917) 658-5187","Theater","Manhattan Council District #10","Manhattan Community Board #12","Manhattan",40.804684,-73.963915,199,1056992,1018840011,"Morningside Heights"
"310","IRT Theater, Inc.","154 Christopher Street, Suite 3B","New York","NY","10014","(212) 206-6875","Theater","Manhattan Council District #2","Manhattan Community Board #2","Manhattan",40.73273,-74.008129,69,1010421,1006040033,"West Village"
"311","IlluminArt Productions","29 Putters Court","Staten Island","NY","10301","(248) 705-0966","Theater","Staten Island Council Dist #49","Staten Island Community Brd #1","Staten Island",40.620227,-74.107855,59,5127441,5002580177,"New Brighton-Silver Lake"
"312","Immaterial Incorporated","181 Wyckoff Street","Brooklyn","NY","11217","(718) 222-8434","Visual Arts","Brooklyn Council District #38","Brooklyn Community Board #2","Brooklyn",40.68465,-73.987207,71,3005872,3003860050,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"313","Impact Theatre, Inc.","210 West 101st Street, #2B","New York","NY","10025","(212) 662-4108","Theater","Manhattan Council District #8","Manhattan Community Board #7","Manhattan",40.797538,-73.968755,187,1056485,1018720043,"Upper West Side"
"314","Independent Curators International","401 Broadway","New York","NY","10013","(212) 254-8200","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",40.71871,-74.002482,33,1002310,1001940042,"SoHo-TriBeCa-Civic Center-Little Italy"
"315","Indochina Sino-American Senior Citizen Center, Inc.","170 Forsyth St, 2nd Fl","New York","NY","10002","(212) 226-0317","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.721238,-73.991385,3601,1075911,1004217502,"Chinatown"
"316","Inoue Chamber Ensemble, Inc.","440 Riverside Drive, Suite 126","New York","NY","10027","(212) 864-6459","Music","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",40.808999,-73.965686,205,1059817,1019900001,"Morningside Heights"
"317","Instituto Arte Teatral Internacional, Inc.","20 West 72nd Street, Ste. 808","New York","NY","10023","(212) 505-6757","Theater","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",40.776727,-73.977188,157,1028620,1011240046,"Lincoln Square"
"318","InterSchool Orchestras of New York, Inc.","121 West 27th Street","New York","NY","10001","(212) 410-0370","Music","Manhattan Council District #5","Manhattan Community Board #8","Manhattan",40.745831,-73.991916,95,1015067,1008030021,"Midtown-Midtown South"
"319","Interactive Drama for Education and Awareness in Schools, Inc.","98 4th Street, Ste. 305","Brooklyn","NY","11231","(718) 387-5055","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn",40.676625,-73.992966,77,3008082,3004710125,"Carroll Gardens-Columbia Street-Red Hook"
"320","International Center of Photography","1114 Avenue of the Americas","New York","NY","10036","(212) 857-0012","Museum","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.755352,-73.983732,96,1034196,1012580009,"Midtown-Midtown South"
