Organization Name,Address,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Latitude,Longitude,Census Tract,BIN,BBL,NTA
"Concert Artists Guild, Inc.",850 Seventh Avenue,New York,NY,10019,(212) 333-5200 x11,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.763942,-73.981192,137,1024854,1010260032,Midtown-Midtown South
"Concerts in Motion, Inc.",341 W38th Street,New York,NY,10018,(212) 498-9868,Music,Manhattan Council District #3,Manhattan Community Board #7,Manhattan,40.755237,-73.992864,115,1013637,1007620011,Clinton
Concerts in the Heights,"251 Seaman Avenue, #1F",New York,NY,10034,(212) 543-0475,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,40.871766,-73.918157,307,1065036,1022430366,Marble Hill-Inwood
Concrete Temple Theatre,"211 East 14th Street, Apt. 10",New York,NY,10003,(212) 598-9135,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.733092,-73.986678,48,1019503,1008960010,Gramercy
"Coney Island Generation Gap Reunion Committee, Corp",2904 Neptune Avenue,Brooklyn,NY,11224,(718) 975-0447,Film/Video/Audio,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,40.577733,-73.995997,328,3188862,3070100010,Seagate-Coney Island
"Coney Island History Project, Inc.",c/o Deno's Wonder Wheel Park,Brooklyn,NY,11224,(718) 265-2100,"Multi-Discipline, Non-Perform",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,40.573995,-73.979151,352,3347224,3086960145,Seagate-Coney Island
Coney Island Youth Alive Inc.,2953 West 33rd street,New York,NY,11224,(718) 372-0361,"Multi-Discipline, Performing",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,40.573651,-73.99932,342,3321766,3070480015,Seagate-Coney Island
"Coney Island, USA",1208 Surf Avenue,Brooklyn,NY,11224,(718) 372-5159,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,40.575535,-73.979978,352,3245137,3086940018,Seagate-Coney Island
"Conference House Association, Inc.",298 Satterlee Street,Staten Island,NY,10307,(718) 984-0415,Museum,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,40.502357,-74.25144,24402,5126463,5078570001,Charleston-Richmond Valley-Tottenville
"Congress for Jewish Culture, Inc.",PO Box 1590,New York,NY,10159,(212) 505-8040,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan,,,,,,
Conrad Poppenhusen Association,P.O. Box 91,College Point,NY,11356,(718) 358-0067,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #7,Queens,,,,,,
Conscientious Musical Revues,"2576 Broadway, Apt. 446",New York,NY,10025,(800) 624-8474,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,,,,,,
"Construction Company Theater/Dance Associates, Inc.","10 East 18th Street, #3",New York,NY,10003,(212) 924-7882,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.738225,-73.991163,52,1080748,1008467502,Hudson Yards-Chelsea-Flatiron-Union Square
Contemporaneous Inc.,P.O. Box 275,New York,NY,10023,(205) 914-9663,Music,Manhattan Council District #6,Manhattan Community Board #7,Brooklyn,,,,,,
"Contemporary Art for America, Inc.","330 West 15th Street, Suite 5D",New York,NY,10011,(212) 645-2895,Museum,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.740866,-74.003046,83,1013028,1007380057,Hudson Yards-Chelsea-Flatiron-Union Square
"Contemporary Ballet Theatre, Inc",861 Manida St.,N.Y.,NY,10474,(718) 623-0933,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #2,Bronx,40.817831,-73.889834,93,2005985,2027400082,Hunts Point
"Continuum Project, Inc.",PO Box 1892,New,NY,10008,(718) 791-9088,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,,,
Converging Arts Media Organization,57 Stanton Street,New York,NY,10002,(212) 995-5290,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.721976,-73.990259,3601,1077627,1004210060,Chinatown
Cool Culture,"80 Hanson Place, Suite 604",Brooklyn,NY,11217,(718) 230-4186 x302,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.685488,-73.974421,35,3057479,3020030034,Fort Greene
"Coopdanza, Inc.","98-05 67th Avenue, #11N",Rego Park,NY,11374,(929) 296-2862,"Multi-Discipline, Performing",Queens Council District #21,Queens Community Board #4,Queens,40.724241,-73.855552,71306,4074666,4031560133,Forest Hills
"Cooper-Hewitt, National Design Museum",2 East 91st Street,New York,NY,10128,(212) 849-8373,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.784607,-73.957866,15002,1046980,1015020001,Upper East Side-Carnegie Hill
Cooperative Culture Collective,117 S. Oxford Street,Brooklyn,NY,11217,(718) 638-7624,Other,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.686229,-73.97343,181,3059376,3021180048,Fort Greene
Cora Incorporated,72 Van Dyke Street,Brooklyn,NY,11231,(732) 267-1859,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,40.674489,-74.01296,53,3008833,3005990046,Carroll Gardens-Columbia Street-Red Hook
"CorbinDances, Inc.",196 West 134th Street,New York,NY,10030,(646) 734-6338,Dance,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.814518,-73.943939,226,1086206,1019180059,Central Harlem North-Polo Grounds
"Corona Youth Music Project, Inc.","155 West 68th Street, Apt. 1931",New York,NY,10023,(646) 330-7562,Music,Manhattan Council District #6,Manhattan Community Board #7,Queens,,,,,,
"Council For Living Music, Inc.","322 West 48th Street, 3rd Floor",New York,NY,10036,(212) 245-4802,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.761399,-73.987896,127,1025108,1010380043,Clinton
Council of Literary Magazines and Presses,"154 Christopher Street, Ste. 3C",New York,NY,10014,(212) 741-9110 x14,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.73273,-74.008129,69,1010421,1006040033,West Village
Council of Peoples Organization,1081 Coney Island Avenue,Brooklyn,NY,11230,(718) 434-3266,Music,Brooklyn Council District #45,Brooklyn Community Board #14,Brooklyn,40.631068,-73.966441,528,3178916,3066860076,Flatbush
Council on the Arts and Humanities for Staten Island,P.O. Box 50197,Staten Island,NY,10305,(718) 447-3329,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,,,,,,
"Covenant Ballet Theatre of Brooklyn, Inc.","4750 Bedford Avenue, #8A",Brooklyn,NY,11235,(718) 891-6199,Dance,Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn,40.586077,-73.944023,600,3247163,3087820034,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Coyote REP Theatre Company,"360 W 28th St, Apt. 4A",New York,NY,10001,(917) 584-8796,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.749479,-73.998318,97,1013462,1007517501,Hudson Yards-Chelsea-Flatiron-Union Square
"Create in Chinatown, Inc",150 Elizabeth Street,New York,NY,10012,(212) 563-0392,,,,Manhattan,40.7203,-73.995083,41,1088390,1004787501,SoHo-TriBeCa-Civic Center-Little Italy
"Creative Alternatives of New York, Inc.",225 West 99th Street,New York,NY,10025,(212) 222-1969,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,40.796267,-73.969586,187,1084035,1018710029,Upper West Side
"Creative Ammo, Inc.","18 East 41st Street, Suite 1806",New York,NY,10017,(212) 807-1337 x14,Theater,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,40.752417,-73.980448,82,1035324,1012750061,Murray Hill-Kips Bay
Creative Arts Team,"101 West 31st Street, 6th Floor",New York,NY,10001,(212) 652-2830,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.748084,-73.989588,101,1015182,1008070039,Midtown-Midtown South
Creative Arts Workshops for Kids,520 Eighth Avenue,New York,NY,10018,(646) 316-1657,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.753612,-73.992417,109,1083624,1007860001,Midtown-Midtown South
Creative Capital Foundation,65 Bleecker Street,New York,NY,10012,(212) 598-9900,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.726204,-73.995173,5502,1008454,1005290072,West Village
"Creative Center, Inc.",273 Bowery,New York,NY,10002,(646) 465-5313,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.723629,-73.992781,3601,1087241,1004277504,Chinatown
"Creative Minds NYC, Inc.","56 Beaver Street, #205",New York,NY,10004,(212) 742-8091,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.705115,-74.010286,9,1078999,1000297501,Battery Park City-Lower Manhattan
"Creative Outlet Dance Theatre of Brooklyn, Inc.","80 Hanson Place, Suite 303",Brooklyn,NY,11217,(718) 636-9312 x103,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.685488,-73.974421,35,3057479,3020030034,Fort Greene
"Creative Time, Inc.","59 East 4th Street, #6E",New York,NY,10003,(212) 206-6674,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.726785,-73.990807,38,1082642,1004600056,East Village
"Cross Performance, Inc.",140 Second Avenue,New York,NY,10003,(212) 260-7426,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Brooklyn,40.67127,-73.99451,119,,,Park Slope-Gowanus
Crown Heights Jewish Community Council,375 Kingston Avenue,Brooklyn,NY,11213,(347) 432-3777,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,40.666153,-73.942485,333,3330806,3012930001,Crown Heights South
Crown Heights Youth Collective,133 Rogers Avenue,Brooklyn,NY,11225,(718) 756-7600,,Brooklyn Council District #36,Brooklyn Community Board #8,Brooklyn,40.673022,-73.952976,31701,3031485,3012400004,Crown Heights North
Cuban Artists Fund,41 Union Square West,New York,NY,10003,(212) 812-4200,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.736976,-73.990452,52,1016089,1008440026,Hudson Yards-Chelsea-Flatiron-Union Square
"Cubraiti, Inc.","1763 Second Avenue, Ste. 17P",New York,NY,10128,(212) 987-4363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.781598,-73.94904,154,1048914,1015370022,Yorkville
"Cultural Center for Soviet Refugees, Inc.","139 East 33rd Street, Apt. 9M",New York,NY,10016,(212) 686-0199,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.745838,-73.980436,72,1018492,1008890015,Murray Hill-Kips Bay
"Cultural Collaborative Jamaica, Inc.",P.O. Box 311155,Jamaica,NY,11432,(718) 526-3217,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,,,,,,
Cultural Museum Of African Art - The Eric Edwards Collection,213 TAAFFE PLACE - SUITE 111,Brooklyn,NY,11205,(718) 399-9053,Museum,Brooklyn Council District #33,Brooklyn Community Board #3,Brooklyn,,,,,,
"Culture Project, Inc.","49 Bleecker Street, Ste. 602",New York,NY,10012,(212) 925-1806,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.725825,-73.994357,5502,1008451,1005290062,West Village
"Culture Push, Inc.",241 E. 7th Street,New York,NY,10009,(917) 306-6363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.723836,-73.978253,2602,1004524,1003770067,Lower East Side
Culture Shed,545 West 30th Street,New York,NY,10001,(212) 616-5822,,Manhattan Council District #3,,Manhattan,40.752652,-74.002364,99,1089411,1007027502,Hudson Yards-Chelsea-Flatiron-Union Square
"CultureNOW, Inc.","511 West 25th Street, Ste. 707",New York,NY,10001,(212) 604-0900,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.749364,-74.004132,99,1012382,1006970023,Hudson Yards-Chelsea-Flatiron-Union Square
"Culturehub, Inc.",65 East 4th Street Box 16,New York,NY,10003,(347) 633-2055,New Media,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.726695,-73.990594,38,1077980,1004600054,East Village
"Cumbe: Center for African and Diaspora Dance, Inc.",1368 Fulton Street,New York City,NY,11216,(718) 935-9700,Dance,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,40.680175,-73.945717,247,3053786,3018620014,Crown Heights North
"Cunningham Dance Foundation, Inc.",55 Bethune Street,New York,NY,10014,(212) 255-8240 x17,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.736955,-74.008729,79,1012047,1006390001,West Village
Curran Events Inc,21 First Avenue,New York,NY,10003,(212) 254-5018,Dance,Manhattan Council District #2,Manhattan Community Board #3,Brooklyn,,,,,,
"Cygnus Ensemble, Inc.","400 West 43rd Street, Apt. 11G",New York,NY,10036,(914) 665-2254,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.759173,-73.992326,121,1083745,1010520001,Clinton
"D.U.M.B.O. Arts Center, Inc.","111 Front Street, #212",Brooklyn,NY,11201,(718) 694-0831,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.70251,-73.988975,21,3000088,3000380001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
DDJW INCORPORATED,"511 West 151st Street, Apt. C1",New York,NY,10031,(212) 694-0477,Dance,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,40.829286,-73.94544,237,1062188,1020830026,Hamilton Heights
"DG Falu Foundation, Inc.",333 East 118th Street,New York,NY,10035,(646) 705-3266,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.797936,-73.93592,188,1054711,1017950017,East Harlem North
DIVAS for Social Justice,131-02 229th Street,Laurelton,NY,11413,(718) 413-8031,Photography,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,,,
"DMF Youth, Inc.",320 West 83rd Street Suite 1A,New York,NY,10024,(714) 612-3440,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.787272,-73.980128,171,1033808,1012450034,Upper West Side
"DOME Project, Inc.",486 Amsterdam Ave,New York,NY,10023,(212) 724-1780,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.786001,-73.976261,171,1032781,1012310032,Upper West Side
"DUMBO District Management Association, Inc.",20 Jay Street #510,Brooklyn,NY,11201,(718) 237-8700,Architecture/Design,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.704313,-73.986587,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Da Capo Chamber Players, Inc.","215 West 90th Street, Ste. 1G",New York,NY,10024,(212) 873-1065,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.790494,-73.973717,179,1033556,1012387501,Upper West Side
"Dance 2000: The Felice Lesser Dance Theater Foundation, Inc.","484 West 43rd Street,  #9T",New York,NY,10036,(212) 594-3388,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.76009,-73.994502,121,1083746,1010520001,Clinton
"Dance Continuum, Inc.",545 W 111th St,New York,NY,10025,(212) 219-0005,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.804624,-73.96571,199,1075433,1018837501,Morningside Heights
"Dance Entropy, Inc.","37-24 24th Street, Apt. 301",Long Island City,NY,11101,(718) 956-3037,Dance,Queens Council District #26,Queens Community Board #2,Queens,40.757018,-73.935833,33,4441780,4003660001,Queensbridge-Ravenswood-Long Island City
"Dance Films Association, Inc.",75 Broad Street,New York,NY,10004,(212) 727-0764,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.704487,-74.011556,9,1000849,1000290070,Battery Park City-Lower Manhattan
"Dance Giant Steps, Inc.","93 Montague Street, Ste. 303",Brooklyn,NY,11201,(713) 666-6395,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.695133,-73.995503,501,3255619,3002427501,Brooklyn Heights-Cobble Hill
Dance Iquail,Po Box 559,New York,NY,10030,(646) 457-7484,Dance,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,,,,,,
Dance New Amsterdam,"280 Broadway, 2nd floor",New York,NY,10007,(212) 625-8369 x201,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.714417,-74.006089,31,1079215,1001530001,SoHo-TriBeCa-Civic Center-Little Italy
"Dance Notation Bureau, Inc.",111 John Street,New York,NY,10038,(212) 571-7011,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.707671,-74.005764,1502,1001167,1000750030,Battery Park City-Lower Manhattan
"Dance Parade, Inc.",789 Westminster Road,Brooklyn,NY,11230,(262) 880-1270,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,,,,,,
"Dance Project Sequence, Inc.","37-18 Northern Blvd., #315",Long Island City,NY,11101,(212) 517-4177,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #5,Manhattan,,,,,,
Dance Project of Washington Heights,621 West 172nd Street,New York,NY,10032,(646) 528-9675,Dance,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,40.844074,-73.939317,253,1063495,1021420100,Washington Heights South
"Dance Ring, Inc.",131 East 10 Street,New York,NY,10003,(212) 679-0401,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.730471,-73.988432,40,1006818,1004660026,East Village
"Dance Service New York City, Inc.",218 East 18th Street,New York,NY,10003,(212) 366-6900 x201,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.735518,-73.98474,48,1019574,1008980046,Gramercy
"Dance Theatre Etcetera, Inc.","480 Van Brunt Street, Ste. 203",Brooklyn,NY,11231,(718) 643-6790 x111,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,40.674431,-74.016345,53,3008873,3006110011,Carroll Gardens-Columbia Street-Red Hook
"Dance Theatre of Harlem, Inc.",466 West 152nd Street,New York,NY,10031,(212) 690-2800 x401,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.829244,-73.943446,23501,1061605,1020660059,Hamilton Heights
"Dance to Unite, Inc.",222 West 14th Street,New York City,NY,10011,(917) 744-1080,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.738915,-74.000559,77,1067572,1006187501,West Village
DanceBreak Foundation,"350 West 42nd Street, Apt 39D",New York,NY,10036,(212) 315-1516,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.757834,-73.99124,115,1087264,1010327501,Clinton
"DanceWorks, Inc.",75 Broad Street,New York,NY,10004,(212) 278-8111 x301,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.704487,-74.011556,9,1000849,1000290070,Battery Park City-Lower Manhattan
Dancenow/NYC,P.O. Box 20029,New York,NY,10014,(917) 664-8065,Dance,Manhattan Council District #3,Manhattan Community Board #3,Manhattan,,,,,,
Dances For A Variable Population,560 Riverside Dr. Apt 9K,New York,NY,10027,(347) 683-2691,Dance,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,40.817051,-73.960772,211,1059891,1019950063,Morningside Heights
Dances and Drums of Africa,"397 Bridge Street, 2nd Floor",Brooklyn,NY,11201,(718) 254-0670,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.691388,-73.985313,15,3000286,3001450006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Dancewave, Inc.",45 4th Avenue,Brooklyn,NY,11217,(718) 522-4696,Dance,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn,40.683029,-73.979239,12901,3018412,3009300006,Park Slope-Gowanus
"Dancing Classrooms, Inc.","1350 Avenue of the Americas, 2nd Floor",New York,NY,10019,(212) 244-9442,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.762731,-73.978341,104,1034815,1012700071,Midtown-Midtown South
"Dancing Crane, Inc.",6401 20th Avenue,Brooklyn,NY,11204,(914) 522-3888,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn,40.617029,-73.985318,254,3133625,3055490010,Bensonhurst West
Dancing Dreams,23-91 Bell Blvd,Bayside,NY,11360,(718) 428-2600,Dance,Queens Council District #19,Queens Community Board #11,Queens,40.779916,-73.775333,99703,4132710,4059580052,Ft. Totten-Bay Terrace-Clearview
"Dancing in the Streets, Inc.",555 Bergen Avenue,Bron,NY,10455,(212) 625-3505 x21,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,,,
Daniel's Music Foundation,1641 Third Avenue,New York,NY,10128,(212) 289-8912,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.782491,-73.951292,154,1086173,1015377501,Yorkville
"Danisar Productions, Inc.","1 Union Square South, Ste. 17M",New York,NY,10003,(212) 842-2643,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.733982,-73.989875,42,1087083,1005659021,East Village
"Dansology, Inc.",515 East 6th Street,New York,NY,10009,(212) 375-0186,Dance,Manhattan Council District #7,Manhattan Community Board #2,Manhattan,40.725236,-73.983375,32,1005112,1004020057,East Village
"Danspace Project, Inc.",St. Mark's Church,New York,NY,10003,(212) 674-8112,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,,,
Dare2Draw,23 West 73rd Street,New York,NY,10023,(917) 864-6242,Visual Arts,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.777182,-73.976108,157,1028661,1011260014,Lincoln Square
Death By Audio,49 South 2nd St,Brooklyn,NY,11221,(518) 321-4651,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.71452,-73.965955,551,3062892,3024030041,North Side-South Side
"Deconstructive Theatre Project, Inc.",1421 DeKalb Avenue,Brooklyn,NY,11237,(646) 833-8276,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Manhattan,,,,,,
"Deep Dish T.V., Inc.",339 Lafayette Street,New York,NY,10012,(212) 473-8933,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.726055,-73.994545,5502,1008452,1005290065,West Village
"Design Trust for Public Space, Inc.",40 Worth Street,New York,NY,10013,(212) 695-2432 x10,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.717363,-74.006897,33,1001622,1001480015,SoHo-TriBeCa-Civic Center-Little Italy
"Desipina Productions, Inc.","138 South Oxford Street, Apt. 1C",Brooklyn,NY,11217,(212) 564-8666,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.685073,-73.973221,179,3000000,3020040048,Fort Greene
"Dessoff Choirs, Inc.",P.O. Box 1337,New York,NY,10028,(212) 790-6646,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,,,,,,
Developing Artists Theater Company,12 5th Avenue,New York,NY,10011,(917) 512-7976,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.732484,-73.996193,63,1009431,1005720043,West Village
"Dharma Road Productions, Inc.","123 4th Ave, 2nd FL",New York,NY,10003,(212) 677-8621,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.733117,-73.98994,42,1009008,1005580005,East Village
Dia Center for the Arts,"535 West 22nd Street, 4th Floor",New York,NY,10011,(212) 293-5505,Visual Arts,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,40.747495,-74.005756,99,1012326,1006940014,Hudson Yards-Chelsea-Flatiron-Union Square
Dicapo Opera Theatre Corp.,"220 East 54th Street, Ste. 11J",New York,NY,10022,(212) 288-9438 x11,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.758033,-73.968261,98,1038567,1013270037,Turtle Bay-East Midtown
"Dieu Donne Paper Mill, Inc.","63 Flushing Avenue, Unit 112",Brooklyn,NY,11205,(212) 226-0573 x304,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn,40.69802,-73.974986,543,3335129,3020230001,park-cemetery-etc-Brooklyn
"Diller-Quaile School of Music, Inc.",24 East 95th Street,New York,NY,10128,(212) 369-1484 x22,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.786829,-73.955341,16001,1047407,1015060060,Upper East Side-Carnegie Hill
Diocese of the Armenian Church of America (Eastern),630 Second Avenue,New York,NY,10016,(212) 686-0710,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.745082,-73.975647,78,1081682,1009400001,Murray Hill-Kips Bay
"Direct Arts, Inc.","647 East 11th Street, Apt. 2",New York,NY,10009,(917) 941-7926,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.726995,-73.978327,28,1004914,1003940044,Lower East Side
"Discalced, Inc.",3 Lafayette Avenue,Brooklyn,NY,11217,(718) 624-8400 x216,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.686746,-73.97887,33,3059169,3021070001,Fort Greene
"Discipleship Outreach Ministries, Inc",5220 4th Avenue,Brooklyn,NY,11220,(718) 360-8100,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,40.645191,-74.013924,76,3013857,3008060046,Sunset Park West
Divaria Productions Inc,63 Thompson Street Apt 4D,New York,NY,10012,(917) 250-2087,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.724211,-74.0032,47,1007366,1004890035,SoHo-TriBeCa-Civic Center-Little Italy
"Diversity in Arts and Nations for Cultural Education, Inc.",1408 Commonwealth Ave,New York City,NY,10472,(646) 408-6007,Folk Arts,Bronx Council District #18,Bronx Community Board #9,Bronx,40.835002,-73.868994,76,2028161,2038970004,West Farms-Bronx River
"Djoniba Dance and Drum Centre, Inc.",P.O. Box 1074,New York,NY,10276,(212) 254-9466,Dance,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,,,,,,
"Doing Art Together, Inc.","1841 Broadway,  Apt. 704",New York,NY,10023,(212) 245-8134,Visual Arts,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.769158,-73.982429,145,1027189,1011130018,Lincoln Square
"Dominican Sunday, Inc.",175 West 107th Street,New York,NY,10025,(212) 749-0781,Folk Arts,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,40.800734,-73.964296,193,1055983,1018620001,Morningside Heights
"Dorian Woodwind Foundation, Inc.",PO Box 231417,New York,NY,10023,(646) 242-9870,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,,,,,,
Dorsky Gallery Curatorial Programs,11-03 45 Avenue,Long Island City,NY,11101,(718) 937-6317,Visual Arts,Queens Council District #26,Queens Community Board #2,Queens,40.747722,-73.94943,7,4000441,4000520020,Hunters Point-Sunnyside-West Maspeth
Double Decker Productions,484 W.43rd Street,New York,NY,10036,(646) 765-5292,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.76009,-73.994502,121,1083746,1010520001,Clinton
"Double Entendre Music Ensemble, Inc.",809 West 181st Street #165,New York,NY,10033,(212) 740-2909,Music,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,40.85104,-73.938717,273,1064336,1021790090,Washington Heights North
Douglaston and Little Neck Historical Society,PO Box 630142,Little Neck,NY,11363,(917) 690-1750,Humanities,Queens Council District #19,Queens Community Board #11,Queens,,,,,,
